id,project,file,function,func_body,has_mechanism,mechanism_found,notes
305,deep-learning-for-image-processing,deep-learning-for-image-processing/pytorch_classification/Test3_vggnet/model.py,make_features,"def make_features(cfg: list):
    layers = []
    in_channels = 3
    for v in cfg:
        if v == ""M"":
            layers += [nn.MaxPool2d(kernel_size=2, stride=2)]
        else:
            conv2d = nn.Conv2d(in_channels, v, kernel_size=3, padding=1)
            layers += [conv2d, nn.ReLU(True)]
            in_channels = v
    return nn.Sequential(*layers)",N,,
306,thefuck,thefuck/tests/rules/test_git_commit_add.py,test_match,"def test_match(output, script):
    assert match(Command(script, output))",N,,
307,edgedb,edgedb/edb/server/compiler/explain/pg_tree.py,_obj_to_name,"def _obj_to_name(
    sobj: so.Object,
    ctx: explain.AnalyzeContext,
    dotted: bool=False,
) -> str:
    if isinstance(sobj, s_pointers.Pointer):
        # If a pointer is on the RHS of a dot, just use
        # the short name. But otherwise, grab the source
        # and link it up
        s = str(sobj.get_shortname(ctx.schema).name)
        if sobj.is_link_property(ctx.schema):
            s = f'@{s}'
        if not dotted and (src := sobj.get_source(ctx.schema)):
            src_name = _translate_name(
                src.get_name(ctx.schema),
                ctx.reverse_mod_aliases,
            )
            s = f'{src_name}.{s}'
    elif isinstance(sobj, s_constr.Constraint):
        s = sobj.get_verbosename(ctx.schema, with_parent=True)
    elif isinstance(sobj, s_indexes.Index):
        s = sobj.get_verbosename(ctx.schema, with_parent=True)
        if expr := sobj.get_expr(ctx.schema):
            s += f' on ({expr.text})'
    else:
        s = _translate_name(
            sobj.get_name(ctx.schema),
            ctx.reverse_mod_aliases,
        )

    if dotted:
        s = '.' + s

    return s",N,,
308,seaborn,seaborn/seaborn/_core/plot.py,_plot,"def _plot(self, pyplot: bool = False) -> Plotter:

        # TODO if we have _target object, pyplot should be determined by whether it
        # is hooked into the pyplot state machine (how do we check?)

        plotter = Plotter(pyplot=pyplot, theme=self._theme_with_defaults())

        # Process the variable assignments and initialize the figure
        common, layers = plotter._extract_data(self)
        plotter._setup_figure(self, common, layers)

        # Process the scale spec for coordinate variables and transform their data
        coord_vars = [v for v in self._variables if re.match(r""^x|y"", v)]
        plotter._setup_scales(self, common, layers, coord_vars)

        # Apply statistical transform(s)
        plotter._compute_stats(self, layers)

        # Process scale spec for semantic variables and coordinates computed by stat
        plotter._setup_scales(self, common, layers)

        # TODO Remove these after updating other methods
        # ---- Maybe have debug= param that attaches these when True?
        plotter._data = common
        plotter._layers = layers

        # Process the data for each layer and add matplotlib artists
        for layer in layers:
            plotter._plot_layer(self, layer)

        # Add various figure decorations
        plotter._make_legend(self)
        plotter._finalize_figure(self)

        return plotter",N,,
309,pattern,pattern/test/test_graph.py,traversable,"def traversable(node, edge):
            if edge.node2.id == ""e"":
                return False",N,,
310,transformers,transformers/src/transformers/models/esm/modeling_esmfold.py,infer_pdb,"def infer_pdb(self, seqs, *args, **kwargs) -> str:
        """"""Returns the pdb (file) string from the model given an input sequence.""""""
        assert type(seqs) is str
        output = self.infer(seqs, *args, **kwargs)
        return self.output_to_pdb(output)[0]",N,,
311,abu,abu/abupy/ExtBu/joblib/parallel.py,print_progress,"def print_progress(self):
        """"""Display the process of the parallel execution only a fraction
           of time, controlled by self.verbose.
        """"""
        if not self.verbose:
            return
        elapsed_time = time.time() - self._start_time

        # Original job iterator becomes None once it has been fully
        # consumed : at this point we know the total number of jobs and we are
        # able to display an estimation of the remaining time based on already
        # completed jobs. Otherwise, we simply display the number of completed
        # tasks.
        if self._original_iterator is not None:
            if _verbosity_filter(self.n_dispatched_batches, self.verbose):
                return
            self._print('Done %3i tasks      | elapsed: %s',
                        (self.n_completed_tasks,
                         short_format_time(elapsed_time), ))
        else:
            index = self.n_completed_tasks
            # We are finished dispatching
            total_tasks = self.n_dispatched_tasks
            # We always display the first loop
            if not index == 0:
                # Display depending on the number of remaining items
                # A message as soon as we finish dispatching, cursor is 0
                cursor = (total_tasks - index + 1 -
                          self._pre_dispatch_amount)
                frequency = (total_tasks // self.verbose) + 1
                is_last_item = (index + 1 == total_tasks)
                if (is_last_item or cursor % frequency):
                    return
            remaining_time = (elapsed_time / index) * \
                             (self.n_dispatched_tasks - index * 1.0)
            # only display status if remaining time is greater or equal to 0
            self._print('Done %3i out of %3i | elapsed: %s remaining: %s',
                        (index,
                         total_tasks,
                         short_format_time(elapsed_time),
                         short_format_time(remaining_time),
                         ))",N,,
312,edgedb,edgedb/tests/test_edgeql_syntax.py,test_edgeql_syntax_describe_02,"def test_edgeql_syntax_describe_02(self):
        """"""
        DESCRIBE TYPE foo::Bar AS SDL;
        """"""",N,,
313,transformers,transformers/tests/models/longt5/test_modeling_longt5.py,test_attention_outputs,"def test_attention_outputs(self):
        if not self.has_attentions:
            pass

        else:
            config, inputs_dict = self.model_tester.prepare_config_and_inputs_for_common()
            config.return_dict = True

            block_len = getattr(self.model_tester, ""block_len"", None)
            seq_len = getattr(self.model_tester, ""seq_length"", None)
            global_block_size = getattr(self.model_tester, ""global_block_size"", 4)
            global_seq_len = seq_len // global_block_size

            for model_class in self.all_model_classes:
                inputs_dict[""output_attentions""] = True
                inputs_dict[""output_hidden_states""] = False
                config.return_dict = True
                model = model_class(config)
                model.to(torch_device)
                model.eval()
                with torch.no_grad():
                    outputs = model(**self._prepare_for_class(inputs_dict, model_class))
                attentions = outputs.encoder_attentions if config.is_encoder_decoder else outputs.attentions
                self.assertEqual(len(attentions), self.model_tester.num_hidden_layers)

                # check that output_attentions also work using config
                del inputs_dict[""output_attentions""]
                config.output_attentions = True
                model = model_class(config)
                model.to(torch_device)
                model.eval()
                with torch.no_grad():
                    outputs = model(**self._prepare_for_class(inputs_dict, model_class))
                attentions = outputs.encoder_attentions if config.is_encoder_decoder else outputs.attentions
                self.assertEqual(len(attentions), self.model_tester.num_hidden_layers)

                self.assertListEqual(
                    list(attentions[0].shape[-3:]),
                    [self.model_tester.num_attention_heads, block_len, 3 * block_len + global_seq_len],
                )
                out_len = len(outputs)

                # Check attention is always last and order is fine
                inputs_dict[""output_attentions""] = True
                inputs_dict[""output_hidden_states""] = True
                model = model_class(config)
                model.to(torch_device)
                model.eval()
                with torch.no_grad():
                    outputs = model(**self._prepare_for_class(inputs_dict, model_class))

                if hasattr(self.model_tester, ""num_hidden_states_types""):
                    added_hidden_states = self.model_tester.num_hidden_states_types
                elif self.is_encoder_decoder:
                    added_hidden_states = 2
                else:
                    added_hidden_states = 1
                self.assertEqual(out_len + added_hidden_states, len(outputs))

                self_attentions = outputs.encoder_attentions if config.is_encoder_decoder else outputs.attentions

                self.assertEqual(len(self_attentions), self.model_tester.num_hidden_layers)
                self.assertListEqual(
                    list(self_attentions[0].shape[-3:]),
                    [self.model_tester.num_attention_heads, block_len, 3 * block_len + global_seq_len],
                )",N,,
314,erpnext,erpnext/erpnext/controllers/status_updater.py,_update_percent_field_in_targets,"def _update_percent_field_in_targets(self, args, update_modified=True):
		""""""Update percent field in parent transaction""""""
		if args.get(""percent_join_field_parent""):
			# if reference to target doc where % is to be updated, is
			# in source doc's parent form, consider percent_join_field_parent
			args[""name""] = self.get(args[""percent_join_field_parent""])
			self._update_percent_field(args, update_modified)
		else:
			distinct_transactions = set(
				d.get(args[""percent_join_field""]) for d in self.get_all_children(args[""source_dt""])
			)

			for name in distinct_transactions:
				if name:
					args[""name""] = name
					self._update_percent_field(args, update_modified)",N,,
315,detectron,detectron/detectron/datasets/task_evaluation.py,_empty_mask_results,"def _empty_mask_results():
    return OrderedDict({
        'mask':
        OrderedDict(
            [
                ('AP', -1),
                ('AP50', -1),
                ('AP75', -1),
                ('APs', -1),
                ('APm', -1),
                ('APl', -1),
            ]
        )
    })",N,,
316,tvm,tvm/tests/python/frontend/tflite/test_forward.py,_test_forward_tile,"def _test_forward_tile(in_shape, reps, dtype):
    data = np.random.uniform(-5, 5, size=in_shape).astype(dtype)

    with tf.Graph().as_default():
        in_data = array_ops.placeholder(shape=data.shape, dtype=data.dtype)

        out = array_ops.tile(in_data, reps)

        compare_tflite_with_tvm(data, ""Placeholder:0"", [in_data], [out])",N,,
317,django,django/django/template/defaulttags.py,create_var,"def create_var(self, value):
        return TemplateLiteral(self.template_parser.compile_filter(value), value)",N,,
318,kornia,kornia/test/augmentation/test_augmentation.py,test_random_p_0,"def test_random_p_0(self):
        self._test_random_p_0_implementation(params=self._default_param_set)",N,,
319,pretrained-models.pytorch,pretrained-models.pytorch/pretrainedmodels/datasets/voc.py,__getitem__,"def __getitem__(self, index):
        path, target = self.images[index]
        img = Image.open(os.path.join(self.path_images, path + '.jpg')).convert('RGB')
        if self.transform is not None:
            img = self.transform(img)
        if self.target_transform is not None:
            target = self.target_transform(target)
        return img, path, target",N,,
320,edgedb,edgedb/edb/testbase/lang.py,_load_std_schema,"def _load_std_schema():
    global _std_schema
    if _std_schema is None:
        std_dirs_hash = buildmeta.hash_dirs(s_std.CACHE_SRC_DIRS)
        schema = None

        if devmode.is_in_dev_mode():
            schema = buildmeta.read_data_cache(
                std_dirs_hash, 'transient-stdschema.pickle')

        if schema is None:
            schema = s_schema.EMPTY_SCHEMA
            for modname in [*s_schema.STD_SOURCES, *s_schema.TESTMODE_SOURCES]:
                schema = s_std.load_std_module(schema, modname)
            schema, _ = s_std.make_schema_version(schema)
            schema, _ = s_std.make_global_schema_version(schema)

        if devmode.is_in_dev_mode():
            buildmeta.write_data_cache(
                schema, std_dirs_hash, 'transient-stdschema.pickle')

        _std_schema = schema

    return _std_schema",N,,
321,pandas,pandas/pandas/tests/computation/test_eval.py,test_eval_no_support_column_name,"def test_eval_no_support_column_name(request, column):
    # GH 44603
    if column in [""True"", ""False"", ""inf"", ""Inf""]:
        request.node.add_marker(
            pytest.mark.xfail(
                raises=KeyError,
                reason=f""GH 47859 DataFrame eval not supported with {column}"",
            )
        )

    df = DataFrame(np.random.randint(0, 100, size=(10, 2)), columns=[column, ""col1""])
    expected = df[df[column] > 6]
    result = df.query(f""{column}>6"")

    tm.assert_frame_equal(result, expected)",N,,
322,paddlehub,paddlehub/modules/video/classification/videotag_tsn_lstm/resource/metrics/youtube8m/eval_util.py,top_k_triplets,"def top_k_triplets(predictions, labels, k=20):
    """"""Get the top_k for a 1-d numpy array. Returns a sparse list of tuples in
  (prediction, class) format""""""
    m = len(predictions)
    k = min(k, m)
    indices = numpy.argpartition(predictions, -k)[-k:]
    return [(index, predictions[index], labels[index]) for index in indices]",N,,
323,vaex,vaex/packages/vaex-core/vaex/dataframe.py,plot3d,"def plot3d(self, x, y, z, vx=None, vy=None, vz=None, vwhat=None, limits=None, grid=None, what=""count(*)"", shape=128, selection=[None, True], f=None,
               vcount_limits=None,
               smooth_pre=None, smooth_post=None, grid_limits=None, normalize=""normalize"", colormap=""afmhot"",
               figure_key=None, fig=None,
               lighting=True, level=[0.1, 0.5, 0.9], opacity=[0.01, 0.05, 0.1], level_width=0.1,
               show=True, **kwargs):
        """"""Use at own risk, requires ipyvolume""""""
        import vaex.ext.ipyvolume
        # vaex.ext.ipyvolume.
        cls = vaex.ext.ipyvolume.PlotDefault
        plot3d = cls(df=self, x=x, y=y, z=z, vx=vx, vy=vy, vz=vz,
                     grid=grid, shape=shape, limits=limits, what=what,
                     f=f, figure_key=figure_key, fig=fig,
                     selection=selection, smooth_pre=smooth_pre, smooth_post=smooth_post,
                     grid_limits=grid_limits, vcount_limits=vcount_limits, normalize=normalize, colormap=colormap, **kwargs)
        if show:
            plot3d.show()
        return plot3d",N,,
324,calibre,calibre/src/calibre/gui2/keyboard.py,editor_opened,"def editor_opened(self, index):
        self.view.scrollTo(index, QAbstractItemView.ScrollHint.EnsureVisible)",N,,
325,statsmodels,statsmodels/statsmodels/tsa/statespace/tests/test_dynamic_factor_mq.py,test_standardized_monthly,"def test_standardized_monthly(reset_randomstate, idiosyncratic_ar1, k_endog,
                              use_pandas):
    nobs = 100
    k2 = 2
    _, _, f2 = test_dynamic_factor_mq_monte_carlo.gen_k_factor2(
        nobs, k=k2, idiosyncratic_ar1=idiosyncratic_ar1)

    if k_endog == 1:
        endog = f2.iloc[:, 0]
        endog_mean = pd.Series([10], index=['f1'])
        endog_std = pd.Series([1], index=['f1'])
    else:
        endog = f2
        endog_mean = pd.Series([10, -4], index=['f1', 'f2'])
        endog_std = pd.Series([1, 1], index=['f1', 'f2'])

    if not use_pandas:
        endog = endog.values
        endog_mean = endog_mean.values
        endog_std = endog_std.values

    # - Actual ---------------------------------------------------------------
    # Baseline model
    mod1 = dynamic_factor_mq.DynamicFactorMQ(
        endog, factors=1, factor_multiplicities=1, factor_orders=1,
        idiosyncratic_ar1=idiosyncratic_ar1,
        standardize=(endog_mean, endog_std))

    params = pd.Series(mod1.start_params, index=mod1.param_names)
    res1 = mod1.smooth(params)

    # - Desired --------------------------------------------------------------
    # Create an identical model, but without standardization
    mod2 = dynamic_factor_mq.DynamicFactorMQ(
        endog, factors=1, factor_multiplicities=1, factor_orders=1,
        idiosyncratic_ar1=idiosyncratic_ar1,
        standardize=False)
    # Start with the parameters from the standardized model
    mod2.update(params)

    # Update the observation equation to manually implement the standardization
    mod2['obs_intercept'] = np.array(endog_mean)
    mod2['design'] *= np.array(endog_std)[:, None]
    mod2['obs_cov'] *= np.array(endog_std)[:, None]**2

    # Prevent the model from overwriting our changes
    mod2.update = lambda params, **kwargs: params

    # Create the results object based on the model with manual standardization
    res2 = mod2.smooth(params)

    # - Test results ---------------------------------------------------------
    check_standardized_results(res1, res2)",N,,
326,vaex,vaex/packages/vaex-ui/vaex/ui/plugin/transferfunction.py,setter,"def setter(value, update=True, i=i):
			self.widget_volume.background_opacity = value
			if update:
				self.widget_volume.update()",N,,
327,django-rest-framework,django-rest-framework/tests/test_viewsets.py,test_detail_view,"def test_detail_view(self):
        response = self.client.get('/api/actions/1/')
        view = response.view

        expected = OrderedDict([
            ('Custom detail action', 'http://testserver/api/actions/1/custom_detail_action/'),
            ('Detail action', 'http://testserver/api/actions/1/detail_action/'),
            ('Wrapped detail action', 'http://testserver/api/actions/1/wrapped_detail_action/'),
            # ""Unresolvable detail action"" excluded, since it's not resolvable
        ])

        self.assertEqual(view.get_extra_action_url_map(), expected)",N,,
328,mitmproxy,mitmproxy/test/mitmproxy/utils/test_sliding_window.py,test_simple,"def test_simple():
    y = list(sliding_window.window(range(1000, 1005), 1, 2))
    assert y == [
        # prev this  next  next2
        (None, 1000, 1001, 1002),
        (1000, 1001, 1002, 1003),
        (1001, 1002, 1003, 1004),
        (1002, 1003, 1004, None),
        (1003, 1004, None, None),
    ]",N,,
329,lbry-sdk,lbry-sdk/lbry/wallet/wallet.py,upgrade,"def upgrade(self, json_dict):
        json_dict = json_dict.copy()
        version = json_dict.pop('version', -1)
        if version == -1:
            pass
        upgraded = self._default.copy()
        upgraded.update(json_dict)
        return json_dict",N,,
330,plotly.py,plotly.py/packages/python/plotly/plotly/graph_objs/_carpet.py,x,"def x(self, val):
        self[""x""] = val",N,,
331,pillow,pillow/Tests/test_color_lut.py,test_4_to_3_channels,"def test_4_to_3_channels(self):
        source = ImageFilter.Color3DLUT.generate(
            (3, 6, 5), lambda r, g, b: (r, g, b, 1), channels=4
        )
        lut = source.transform(
            lambda r, g, b, a: (a - r * r, a - g * g, a - b * b), channels=3
        )
        assert tuple(lut.size) == tuple(source.size)
        assert len(lut.table) != len(source.table)
        assert lut.table != source.table
        # fmt: off
        assert lut.table[:18] == [
            1.0, 1.0, 1.0,  0.75, 1.0, 1.0,  0.0, 1.0, 1.0,
            1.0, 0.96, 1.0,  0.75, 0.96, 1.0,  0.0, 0.96, 1.0]
        # fmt: on",N,,
332,tvm,tvm/tests/python/unittest/test_te_schedule_tensor_core.py,test_tensor_core_batch_conv,"def test_tensor_core_batch_conv():
    # The sizes of inputs and filters
    batch_size = 32
    height = 14
    width = 14
    in_channels = 32
    out_channels = 64
    kernel_h = 3
    kernel_w = 3
    pad_h = 1
    pad_w = 1
    stride_h = 1
    stride_w = 1
    block_size = 16

    block_row_warps = 2
    block_col_warps = 4
    warp_row_tiles = 4
    warp_col_tiles = 2
    warp_size = 32
    chunk = 2

    # Input feature map: (N, H, W, IC, n, ic)
    data_shape = (
        batch_size // block_size,
        height,
        width,
        in_channels // block_size,
        block_size,
        block_size,
    )
    # Kernel: (H, W, IC, OC, ic, oc)
    kernel_shape = (
        kernel_h,
        kernel_w,
        in_channels // block_size,
        out_channels // block_size,
        block_size,
        block_size,
    )

    # Output feature map: (N, H, W, OC, n, oc)
    output_shape = (
        batch_size // block_size,
        height,
        width,
        out_channels // block_size,
        block_size,
        block_size,
    )

    assert batch_size % block_size == 0
    assert in_channels % block_size == 0
    assert out_channels % block_size == 0

    kh = te.reduce_axis((0, kernel_h), name=""kh"")
    kw = te.reduce_axis((0, kernel_w), name=""kw"")
    ic = te.reduce_axis((0, in_channels // block_size), name=""ic"")
    ii = te.reduce_axis((0, block_size), name=""ii"")

    # Algorithm
    A = te.placeholder(data_shape, name=""A"", dtype=""float16"")
    W = te.placeholder(kernel_shape, name=""W"", dtype=""float16"")
    Apad = te.compute(
        (
            batch_size // block_size,
            height + 2 * pad_h,
            width + 2 * pad_w,
            in_channels // block_size,
            block_size,
            block_size,
        ),
        lambda n, h, w, i, nn, ii: tvm.tir.if_then_else(
            tvm.tir.all(h >= pad_h, h - pad_h < height, w >= pad_w, w - pad_w < width),
            A[n, h - pad_h, w - pad_w, i, nn, ii],
            tvm.tir.const(0.0, ""float16""),
        ),
        name=""Apad"",
    )
    Conv = te.compute(
        output_shape,
        lambda n, h, w, o, nn, oo: te.sum(
            Apad[n, h * stride_h + kh, w * stride_w + kw, ic, nn, ii].astype(""float32"")
            * W[kh, kw, ic, o, ii, oo].astype(""float32""),
            axis=[ic, kh, kw, ii],
        ),
        name=""Conv"",
    )

    s = te.create_schedule(Conv.op)
    s[Apad].compute_inline()

    AS = s.cache_read(Apad, ""shared"", [Conv])
    WS = s.cache_read(W, ""shared"", [Conv])
    AF = s.cache_read(AS, ""wmma.matrix_a"", [Conv])
    WF = s.cache_read(WS, ""wmma.matrix_b"", [Conv])
    ConvF = s.cache_write(Conv, ""wmma.accumulator"")

    block_x = te.thread_axis(""blockIdx.x"")
    block_y = te.thread_axis(""blockIdx.y"")
    block_z = te.thread_axis(""blockIdx.z"")
    thread_x = te.thread_axis(""threadIdx.x"")
    thread_y = te.thread_axis(""threadIdx.y"")
    thread_z = te.thread_axis(""threadIdx.z"")

    nc, hc, wc, oc, nnc, ooc = Conv.op.axis
    block_k = s[Conv].fuse(hc, wc)
    s[Conv].bind(block_k, block_z)
    nc, nci = s[Conv].split(nc, factor=warp_row_tiles)
    block_i, nc = s[Conv].split(nc, factor=block_row_warps)
    oc, oci = s[Conv].split(oc, factor=warp_col_tiles)
    block_j, oc = s[Conv].split(oc, factor=block_col_warps)
    s[Conv].reorder(block_k, block_i, block_j, nc, oc, nci, oci, nnc, ooc)
    s[Conv].bind(block_i, block_x)
    s[Conv].bind(block_j, block_y)
    s[Conv].bind(nc, thread_y)
    s[Conv].bind(oc, thread_z)

    s[ConvF].compute_at(s[Conv], oc)
    n, h, w, o, nnf, oof = ConvF.op.axis
    ko, ki = s[ConvF].split(ic, factor=chunk)
    s[ConvF].reorder(ko, kh, ki, kw, n, o, nnf, oof, ii)

    s[AF].compute_at(s[ConvF], kw)
    s[WF].compute_at(s[ConvF], kw)

    s[WS].compute_at(s[ConvF], kh)
    s[AS].compute_at(s[ConvF], kh)

    n, h, w, i, nn, ii = AS.op.axis
    tx, xo = s[AS].split(n, nparts=block_row_warps)
    ty, yo = s[AS].split(xo, nparts=block_col_warps)
    t = s[AS].fuse(nn, ii)
    to, ti = s[AS].split(t, factor=warp_size)
    s[AS].bind(tx, thread_y)
    s[AS].bind(ty, thread_z)
    s[AS].bind(ti, thread_x)

    kh, kw, ic, o, ii, oo = WS.op.axis
    tx, xo = s[WS].split(o, nparts=block_row_warps)
    ty, yo = s[WS].split(xo, nparts=block_col_warps)
    t = s[WS].fuse(ii, oo)
    to, ti = s[WS].split(t, nparts=warp_size)
    s[WS].bind(tx, thread_y)
    s[WS].bind(ty, thread_z)
    s[WS].bind(to, thread_x)
    s[WS].vectorize(ti)

    s[AF].tensorize(AF.op.axis[-2], intrin_wmma_load_matrix((16, 16, 16), ""wmma.matrix_a""))
    s[WF].tensorize(WF.op.axis[-2], intrin_wmma_load_matrix((16, 16, 16), ""wmma.matrix_b""))
    s[Conv].tensorize(nnc, intrin_wmma_store_matrix((16, 16, 16)))
    s[ConvF].tensorize(nnf, intrin_wmma_gemm((16, 16, 16)))

    func = tvm.build(s, [A, W, Conv], ""cuda"")

    dev = tvm.cuda(0)
    a_np = np.random.uniform(size=data_shape).astype(A.dtype)
    w_np = np.random.uniform(size=kernel_shape).astype(W.dtype)
    a = tvm.nd.array(a_np, dev)
    w = tvm.nd.array(w_np, dev)
    c = tvm.nd.array(np.zeros(output_shape, dtype=Conv.dtype), dev)
    evaluator = func.time_evaluator(func.entry_name, dev, number=3)
    print(""conv2d with tensor core: %f ms"" % (evaluator(a, w, c).mean * 1e3))

    if VERIFY:
        func(a, w, c)
        a_np = a_np.transpose(0, 4, 1, 2, 3, 5).reshape(batch_size, height, width, in_channels)
        w_np = w_np.transpose(0, 1, 2, 4, 3, 5).reshape(
            kernel_h, kernel_w, in_channels, out_channels
        )
        c_np = (
            c.numpy().transpose((0, 4, 1, 2, 3, 5)).reshape(batch_size, height, width, out_channels)
        )
        c_std = conv2d_nhwc_python(
            a_np.astype(Conv.dtype), w_np.astype(Conv.dtype), (stride_h, stride_w), (pad_h, pad_w)
        ).astype(Conv.dtype)
        np.testing.assert_allclose(c_np, c_std, rtol=1e-4, atol=1e-4)",N,,
333,fairseq,fairseq/examples/textless_nlp/gslm/unit2speech/tacotron2/model.py,forward,"def forward(self, attention_hidden_state, memory, processed_memory,
                attention_weights_cat, mask):
        """"""
        PARAMS
        ------
        attention_hidden_state: attention rnn last output
        memory: encoder outputs
        processed_memory: processed encoder outputs
        attention_weights_cat: previous and cummulative attention weights
        mask: binary mask for padded data
        """"""
        alignment = self.get_alignment_energies(
            attention_hidden_state, processed_memory, attention_weights_cat)

        if mask is not None:
            alignment.data.masked_fill_(mask, self.score_mask_value)

        attention_weights = F.softmax(alignment, dim=1)
        attention_context = torch.bmm(attention_weights.unsqueeze(1), memory)
        attention_context = attention_context.squeeze(1)

        return attention_context, attention_weights",N,,
334,plotly.py,plotly.py/packages/python/plotly/plotly/graph_objs/sunburst/marker/_colorbar.py,tickwidth,"def tickwidth(self, val):
        self[""tickwidth""] = val",N,,
335,http-prompt,http-prompt/tests/test_execution.py,test_simple_body_params,"def test_simple_body_params(self):
        execute('username=john password=123', self.context)
        self.assertEqual(self.context.body_params, {
            'username': 'john',
            'password': '123'
        })",N,,
336,textual,textual/src/textual/document/_document.py,_utf8_encode,"def _utf8_encode(text: str) -> bytes:
    """"""Encode the input text as utf-8 bytes.

    The returned encoded bytes may be retrieved from a cache.

    Args:
        text: The text to encode.

    Returns:
        The utf-8 bytes representing the input string.
    """"""
    return text.encode(""utf-8"")",N,,
337,numpy,numpy/numpy/_core/tests/test_dtype.py,test_ulong_dtype,"def test_ulong_dtype():
    # test for gh-21063
    assert np.dtype(""ulong"") == np.dtype(np.uint)",N,,
338,pwntools,pwntools/pwnlib/rop/ret2dlresolve.py,__bytes__,"def __bytes__(self):
        return self.__flat__()",N,,
339,machine_learning_examples,machine_learning_examples/ab_testing/server_starter.py,sample,"def sample(self):
    # TODO
    return 1",N,,
340,dgl,dgl/tools/distpartitioning/data_shuffle.py,run,"def run(rank, world_size, func_exec, params, backend=""gloo""):
    """"""
    Init. function which is run by each process in the Gloo ProcessGroup

    Parameters:
    -----------
    rank : integer
        rank of the process
    world_size : integer
        number of processes configured in the Process Group
    proc_exec : function name
        function which will be invoked which has the logic for each process in the group
    params : argparser object
        argument parser object to access the command line arguments
    backend : string
        string specifying the type of backend to use for communication
    """"""
    os.environ[""MASTER_ADDR""] = ""127.0.0.1""
    os.environ[""MASTER_PORT""] = ""29500""

    # create Gloo Process Group
    dist.init_process_group(
        backend,
        rank=rank,
        world_size=world_size,
        timeout=timedelta(seconds=5 * 60),
    )

    # Invoke the main function to kick-off each process
    func_exec(rank, world_size, params)",N,,
341,ray,ray/python/ray/data/aggregate/_aggregate.py,accumulate_block,"def accumulate_block(a: AggType, block: Block) -> AggType:
                block_acc = BlockAccessor.for_block(block)
                for r in block_acc.iter_rows(public_row_format=False):
                    a = accumulate_row(a, r)
                return a",N,,
342,zulip,zulip/zerver/tests/test_markdown.py,test_url_embed_preview_enabled,"def test_url_embed_preview_enabled(self) -> None:
        sender_user_profile = self.example_user(""othello"")
        message = copy.deepcopy(
            Message(
                sender=sender_user_profile,
                sending_client=get_client(""test""),
                realm=sender_user_profile.realm,
            )
        )
        realm = message.get_realm()
        realm.inline_url_embed_preview = True  # off by default
        realm.save(update_fields=[""inline_url_embed_preview""])

        ret = url_embed_preview_enabled()
        self.assertFalse(ret)

        settings.INLINE_URL_EMBED_PREVIEW = True

        ret = url_embed_preview_enabled()
        self.assertTrue(ret)

        ret = image_preview_enabled(no_previews=True)
        self.assertFalse(ret)

        ret = url_embed_preview_enabled(message, realm)
        self.assertTrue(ret)
        ret = url_embed_preview_enabled(message)
        self.assertTrue(ret)

        ret = url_embed_preview_enabled(message, no_previews=True)
        self.assertFalse(ret)",N,,
343,qutebrowser,qutebrowser/tests/unit/javascript/conftest.py,__init__,"def __init__(self, tab, qtbot, config_stub):
        self.tab = tab
        self.qtbot = qtbot
        loader = jinja2.FileSystemLoader(JS_DIR)
        self._jinja_env = jinja2.Environment(loader=loader, autoescape=True)
        # Make sure error logging via JS fails tests
        config_stub.val.content.javascript.log = {
            'info': 'info',
            'error': 'error',
            'unknown': 'error',
            'warning': 'error'
        }",N,,
344,calibre,calibre/src/calibre/ebooks/oeb/transforms/flatcss.py,__init__,"def __init__(self, sbase, dbase):
        self.dscale = float(dbase) / float(sbase)",N,,
345,mypy,mypy/mypy/copytype.py,visit_unpack_type,"def visit_unpack_type(self, t: UnpackType) -> ProperType:
        dup = UnpackType(t.type)
        return self.copy_common(t, dup)",N,,
346,plotly.py,plotly.py/packages/python/plotly/plotly/graph_objs/layout/mapbox/_layer.py,source,"def source(self):
        """"""
        Sets the source data for this layer (mapbox.layer.source). When
        `sourcetype` is set to ""geojson"", `source` can be a URL to a
        GeoJSON or a GeoJSON object. When `sourcetype` is set to
        ""vector"" or ""raster"", `source` can be a URL or an array of tile
        URLs. When `sourcetype` is set to ""image"", `source` can be a
        URL to an image.

        The 'source' property accepts values of any type

        Returns
        -------
        Any
        """"""
        return self[""source""]",N,,
347,scikit-learn,scikit-learn/sklearn/decomposition/_nmf.py,fit,"def fit(self, X, y=None, **params):
        """"""Learn a NMF model for the data X.

        Parameters
        ----------
        X : {array-like, sparse matrix} of shape (n_samples, n_features)
            Training vector, where `n_samples` is the number of samples
            and `n_features` is the number of features.

        y : Ignored
            Not used, present for API consistency by convention.

        **params : kwargs
            Parameters (keyword arguments) and values passed to
            the fit_transform instance.

        Returns
        -------
        self : object
            Returns the instance itself.
        """"""
        # param validation is done in fit_transform

        self.fit_transform(X, **params)
        return self",N,,
348,sygil-webui,sygil-webui/ldm/modules/x_transformer.py,forward,"def forward(self, x):
        x, gate = self.proj(x).chunk(2, dim=-1)
        return x * F.gelu(gate)",N,,
